"K","Accuracy","Macro_F1","Class0_F1","Class1_F1","Class2_F1"
3,0.818180026410706,0.407093628428044,0.898750226408259,0.0194647201946472,0.303065938681226
5,0.830005715749847,0.401844171917692,0.905421882166068,0.00396825396825397,0.296142379618755
7,0.834795119932199,0.596201433991569,0.908391515097612,NA,0.284011352885525
11,0.841397796479886,0.594091595267971,0.91238337105946,NA,0.275799819476482
15,0.843132230916294,0.587353013822109,0.913402628829126,NA,0.261303398815092
