"K","Accuracy","Precision","Recall","F1","Specificity"
3,0.767467528628023,0.30698889614631,0.531824611032532,0.38927425199296,0.805619804428974
5,0.777854425764235,0.324504971175537,0.549363507779349,0.408004622091496,0.814848741612659
7,0.782860634251138,0.334034143469851,0.561810466760962,0.418965244449132,0.81865023931115
11,0.787098172930997,0.343087790110999,0.577086280056577,0.430334352916359,0.821100602285479
15,0.787354396200012,0.343463254482701,0.577086280056577,0.430629584674653,0.821398309936565
